"1","حصار"
"2","کندرود"
"3","بخارا"
"4","ولایت بلخ"
"5","سمرقندثمرقند"
"6","خوقند"
"7","کابل"
"8","قزان"
"9","تاشکند"
"10","پشاورپیشور"
"11","لاهورلهور"
"12","کراچی"
"13","ممبی"
"14","مكة"
"15","مدينة"
"16",""
"17",""
"18","نمنگان"
"19","اندیجان"
"20","إستانبولاسلامبول"
"21","خطرچی"
"22","نور اتاأ"
"23","ساکتریساکتره"
"24","محلۀ بابا"
"25","اندخود"
"26","نیشاپور"
"27","هرات"
"28","قرشینسفنخشب"
"29","شهرسبزکیش"
"30","کرمینه"
"31","طهران"
"32","مرومور"
"33","چارجویچهارجوی"
"34","جویبار"
"35",""
"36",""
"37","خلمتاشقرغان"
"38","استروشناوراتپه اوراتیوبه "
"39",""
"40",""
"41","استراخاناشترخان"
"42","چراغچیچراقچی"
"43","خزار"
"44","کجدمککجدومککژدمک"
"45","جیزخدیزخ"
"46","غجدوانخرقانرود"
"47","قراکول"
"48","وابکندکامات"
"49","پیرمست"
"50","شافرکاموردانزهشاپورکام"
"51","رامیتنسامجن"
"52","زنده نیختفرپیشکوه"
"53","خیرآباد"
"54","جنوبی رود"
"55","شمالی رود"
"56","اورگوت"
"57","ضیاء الدین"
"58","کام عبو مسلموغانزه"
"59","تاراب"
"60","فتحاباد"
"61","باخرز"
"62","خیوهخیوق"
"63","ارگنجاورگنجگرگانج"
"64","تبریز"
"65","همدان"
"67","آبادی"
"68","یکّه باغ"
"69","سانچایریک سنگ چاریک"
"70","بایسون"
"71","کرکی"
"72","بلجوان"
"73","بدخشان"
"74","خجند"
"75","فربفربر"
"76","هندوستان"
"77","سرخس"
"78","مشهد"
"79","میامی"
"80","دامغان"
"81","کرمانشاه قهرمانشهرباختران"
"82","بغداد"
"83","نجف"
"84","كربلاء‎"
"85","قوم"
"86","نرزمنرزوم"
"88","باکو"
"89","تفلیس"
"90","باتومباطوم"
"91","قراتگنرشتغرم"
"92","سلیمانیه"
"93","بصرة"
"94","قلات"
"95","ریگرقره تاققره تاغ"
"96","ختلانقرغان تپه"
"98",""
"99","افغانستان"
"100",""
"101","کاکانکاگانینگی بخارا"
"102","دیوانه باغینگی چهارجوی"
"103","شیر آباد"
"104","کتاب"
"105","رامپورمسطفی آباد"
"106","دهلی"
"107","بنارسواراناسیکاشی "
"108","باجور"
"109","لکهنو"
"110","دمشقشام"
"111","ینگی قورغان"
"112","سخاردیهه امیر کلالسوخاری"
"113","کتّه قورغان"
"114","کاشغرقشقر"
"115","قره تپه"
"116","جوزجانجوزجانان"
"117","شبرغان‎"
"118","سرپل"
"119","مرغیلانمرغینان"
"120","بلگرام"
"121","اولیا اتا"
"122","میانکال"
"123","قبادیان"
"124","ایران"
"125","کندوزقدوز"
"126","آهوگیر"
"127","فراویز"
"128","سرجوی"
"129","درواز"
"130","قلعهٔ خمب"
"131","اورمیهارمیهرضائیه‎"
"132","اصفهان"
"133","استرآبادگرگان"
"134","ترمذ"
"135","ترکستان"
"136","خوارزم"
"137","کشمیر"
"138","سیونج"
"139","آخچهآقچه"
"140","پسکنت"
"141","آقمسجد"
"142","اقسو"
"143","یارکنديەكەن"
"144","کورلا"
"145","خطای"
"146","کولاب"
"147","متین"
"148","اوترار"
"149","عشق آباد"
"150","قزوین"
"151","دامان"
"152","شروانشروان"
"153","فرغانه"
"154","حجاز"
"155","قرنق"
"156","دهبید"
"157","قرنب"
"158","قره ایرساری"
"159","سغد"
"160","مزاخین"
"161","سیرماسپیجاب‎سايرام"
"163","چقماقچوقماق"
"164","شاه جهان آباد"
"165","سوزاق"
"166","دوآبه"
"167","اجرقره"
"168","تلس"
"169","توره قورغان"
"170","اوش"
"171","کاسان"
"172","چادک"
"173","چوست"
"174","جاندار"
"175","بسطام"
"176","میمنه"
"177","رامتین"
"178","اندخوداندخوی"
"179","القدس"
"180","غزه"
"181","پنجشنبه"
"182","گجرات"
"184","اورنگ آباد"
"185","حیدرآباد"
"186","کانپور"
"187","ختن"
"188","جون پور"
"189","اوزجند"
"190","ملتان"
"191","برهانپور"
"192","خلد آباد"
"193","دولت آباد"
"194","گلبرگهکلبرکااحسن آباد"
"195","بیجاپور"
"196","کشتوت"
"197","اورنگ آباد"
"198","دربند"
"199","پاره کنت"
"200","زرنج"
"201",""
"202",""
"203",""
"204","فیض آباد"
"205","پنجکند"
"206",""
"207","قندهار"
"208","پیکندبیکند"
"209",""
"210",""
"211",""
"1001","ملا محمد شریف"
"1003","زرگران"
"1009","قطب الاختیار غوث الابرار خواجه ناصر الله و الدین حضرت خواجه عبید الله احرار قدس سره"
"1011","قاضی غفور"
"1014","فوق الذکر"
"1015","کهبند"
"1017","احمدجان پوستیند دوز"
"1020","مادرخان"
"1021","عبدالله خان"
"1022","میر دوستوم بی"
"1024","حاجی عبد الملک"
"1025","چوچوک اییم سنگین"
"1026","نقیب"
"1028","قلماق جان آییم"
"1030","جویبارچه"
"1031","شرافت بانو"
"1032","میرکان کهنه"
"1033","میان اسحاق"
"1034","میر ابراهیم"
"1035","قاری وقایة الله"
"1036","یولداش شهرسبزی"
"1037","غازیان کلان"
"1039","میرزا عبد الغفور"
"1040","تاج الدین"
"1042","بالای حوض"
"1043","نظرچه"
"1044","عسکر بی"
"1045","دار الشفا"
"1046","پاینده بی"
"1047","شادیم بی"
"1048","افغان"
"1050","میر جا نعلی"
"1051","آخوند خاوند"
"1052","چوبین عبد الرحمن"
"1053","مضراب بیک"
"1054","امیر عالم خان"
"1055","میر عرب"
"1056","نو بدل بیک"
"1057","محمد نظر پروانچی"
"1058","حاجی رحمت الله"
"1059","رحمن قل"
"1060","دوست چهره آقاسی"
"1062","نصر الدین بای فرشی گی"
"1063","اوتکور قوشبیگی"
"1064","حاجی زاهد"
"1065","حسین بای"
"1067","مهتر قافلان"
"1068","چوبین کپه"
"1069","حاجی بقا بای"
"1070","عوض بای عرب"
"1072","بابای نانکش"
"1073","میرزا توردی"
"1074","باقیجان قوشبیگی"
"1077","مادرخان"
"1078","عبد الرشید افغان"
"1079","کهبند"
"1080","عبد الحفیظ بای"
"1081","پشیمان"
"1083","بدر الدین"
"1084","کاوکشان"
"1085","عبد المومن بای"
"1086","عالم جان بای"
"1087","محمد امین خواجه"
"1088","چوبین ملا محمد شریف"
"1089","محمد یونس اناق بی"
"1090","گریبان چاک"
"1091","چوبین چوچوک آیم"
"1092","غربیه"
"1093","چوقماق"
"1094","توز قل بای"
"1095","میرزا بیک"
"1096","ایشان پیر"
"1097","میرزا عبید"
"1098","مدرسه خانقاه دیوانبیگی"
"1100","کوکلتاشقلباباقلبابا کوکلتاش"
"1103","شرشره"
"1104","خواجه بلغار"
"1105","داملا حسن"
"1106","ابراهیم آخوند"
"1107","جعفر خواجه نقیب"
"1108","عبد النجا بای"
"1109","جنت مکان"
"1111",""
"1114","عبد السمیع ایشان"
"1115","سید امین بای خواجین"
"1116","قاری سلطان"
"1117","ملا سید خواجه"
"1118","فاضل ایشان"
"1119","محمد امین توبچی باشی"
"1120","یاش اوزاق بیک"
"1122","عبد الکریم بای عطار"
"1123","مهتر عنبر"
"1124","قاری سید خواجه"
"1125","پاچا خواجه"
"1127","خلیفه حسین"
"1128","عباد الله خواجه"
"1129","حاجی قربان"
"1130","حاجی سلیم"
"1132","آخوند عارف خان"
"1133","محسن خواجه اوراق"
"1135","ملا عبد الخالق"
"1136","حاجی قربان خواجه"
"1137","ملا یار آخوند"
"1138","عبد الخلیل بای"
"1139","ملا همراه"
"1140","خاور آی"
"1141","ادریس خواجه"
"1142","امیر نصرالله"
"1143","بابای آل"
"1144","میرزا برهان"
"1145","منغیت آیم"
"1146","میر جمال زرگر"
"1147","جوره بای"
"1149","قاری عبد السلام"
"1150","فتح الله بای"
"1151","صدر بی"
"1152","خواجه قربان"
"1153","مختار خواجه اقسقال"
"1154","عبد الرحیم بای"
"1155","عاشور جان"
"1156","خواجه الفت"
"1157","شیر کران"
"1158","شیخ الاسلام"
"1159","امین جان"
"1160","حسن بای"
"1161","اسکندر خان"
"1162","استیمور"
"1163","میر بقا بای"
"1164","میر کمال"
"1165","خدیر بای"
"1166","مولوی حسن جواجه"
"1167","لقمان جان"
"1168","عبد العزیز خان"
"1171","عزیزان"
"1172","بابا قوقابه"
"1173","اوغول آی"
"1174","قاسم خواجه"
"1175","مولانا شریف"
"1176","کتّه خواجه"
"1177","ملا روزی"
"1178","شاه اخسی"
"1179","اکرام خواجه"
"1180","ملا سلطان"
"1181","اختیار خان"
"1182","میر شاه خواجه"
"1183","استا بهادر"
"1184","خانقاه عالم خواجه"
"1185","بابا جان بای"
"1187","میرزا فضیل بای"
"1188","قاضی حسن خواجه"
"1189","کته خواجه"
"1190","قاضی ابو الحسن خواجه"
"1191","سرای طشت"
"1192","عبد الرحمن بای"
"1193","حیات جان"
"1194","عبد الله کاتب"
"1195","عبد الرحمن بیک"
"1196","عبد النظر مفتی"
"1197","کوچک"
"1198","حافظ قنغرات"
"1199","کهنه بدل بیک"
"1201","علاقه بندان"
"1202","مهدیخواجه"
"1203","خلیفه خدایداد"
"1204","مهتر عارف"
"1205","سلیم بیک بی دیوانبیگی"
"1206","میرزا حیدر"
"1207","زبیده آیم"
"1208","شیخ جلال"
"1209","سرای آیم"
"1210","مهتر اوراک"
"1211","یاش اوزاق بیک"
"1212","توبچی باشی"
"1213","قاضی سلیم"
"1215","ایاز بی"
"1216","محمد علی حاجی"
"1217","حضرت خواجه عارف سرمزار"
"1218","محومدیّه"
"1219","مظفری"
"1220","چقور"
"1221","امارت پناه محمد رضا عتاق حاجی الحرمین الشریفین"
"1222","شیر محمد بای"
"1223","سرای"
"1224",""
"1225","عبد الله خان"
"1226",""
"1232","محمود بن قلندر جان"
"1233","جدّ مجید"
"1234","خانم"
"1235","مدرسهً سرمزار امیر مومنان"
"1236","خال بای ایشیک اقاسی کینگس"
"1237","ینوس خان"
"1238","पानचक्की"
"1239","عبد القادر حکمة الدین"
"1240","برهان الدین غریب"
"1241","خواجہ بندہ نواز گیسو دراز"
"1246","کتاب خانه خواجه پارسا"
"1247","حضرت خواجه محمد پارسا"
"1004","مسجد جامع میرزا الغ بیگ بن میرزا شاهرخالغ بیک"
"1101","دیوانبیگی"
"1027","خیابان"
"1126","فتح الله قوشبیگی"
"1186","کلاباد"
"1227","عوض بای"
"1170","میرزا الغ بیک"
"1200","مولانا مسکین"
"1005","قدوة الفضلاء جناب قاضی ساقی"
"1007","شیردار"
"1248","شیردار"
"1112","ملا ایرنظر"
"1008","طلاکاری"
"1012","ندر محمد دیوانبیگی این مدرسه مشهور به شیر دار دویم"
"1006","سید احمد خواجه"
"1041","گوسفندعبد العزیز خانبازار گوسفند"
"1075","اتالیق"
"1029","جویبار کلان"
"1018","اسیری"
"1131","بی بی خلیفه"
"1214","خواجه دولت"
"1019","محمد علی حاجی"
"1242","سید کریم محمد"
"1243","سید عبد الرحیمؤ"
"1229","نظرک"
"1099","ترسونجان"
"1134","خلیفه نیازقلچهار منار"
"1082","اعلمعبد الرحمن اعلم"
"1010","عالی"
"1228","شمسیه بانو"
"1230","تاج الشریعه"
"1113","داملا شیر"
"1076","اسماعیل خواجه"
"1023","جعفر خواجه"
"1061","خواجه نهال"
"1038","عالی چوبین"
"1071","حاجی قاسم"
"1121","سید کمال"
"1102","قاضی لطیف"
"1244","رباط محمد ذاکر البخاری"
"1169","عبد الشکور بای"
"1245","رباط محمد عبد الشکور البخاری"
"1066","میرزا همدم"
"1148","عبد الشکور بای"
"1049","حاجی بهادر"
"1110","رحمت الله توقسابهترکمان"
"5000"," خانقاه جویبار"
"5002","آی بی اناق"
"5003","أجياد المصافي"
"5007","ارک بخارا"
"5008","استاروحی"
"5009","اسیری"
"5013","امیری"
"5014","اولیای غریب"
"5015","ای بی اناق"
"5016","ایشان پیر"
"5017","بابای آل"
"5018","بابای نانکش"
"5019","بازار خواجه"
"5021","بازار ریسمان"
"5022","بازار فوته"
"5023","بازار گل"
"5024","بالای حوض"
"5025","بر کیان"
"5026","پاچا خواجه"
"5027","پاچا قل حاجیپادشاه قل حاجی"
"5029","پای آستانه"
"5031","تحت یتم"
"5034","تیرگران"
"5035","جا نعلی"
"5036","جا نقوت"
"5038","جعفر خواجه"
"5043","جنیان"
"5044","گذر چشمه ایوب"
"5046","چهار بقالی"
"5051","چهار خراس"
"5052","چوقماق"
"5053","حاجی امانبای"
"5055","حاجی حبیب الله"
"5057","حاجی حسب الله"
"5059","حاجی دارغا"
"5060","حافظ قنغرات"
"5062","حضرت حضر"
"5063","حوض نو"
"5064","خانقاه جویبار"
"5065","خانقاه دیوانبیگی"
"5066","خلیفه حسین"
"5067","خلیفه خدایداد"
"5068","خواجه بلغار"
"5069","خواجه پارسا"
"5072","خواجه تب بند"
"5074","خواجه تویغون"
"5075","خواجه زاموچه"
"5078","خواجه زین الدین"
"5080","خواجه قربان"
"5081","خواجه کلان"
"5084","خیابان"
"5085","دلکشای درون"
"5087","دهیۀ قپچاق"
"5088","دوست چره اقاسی"
"5091","رگیستان"
"5095","ریگستان"
"5097","سراجان"
"5098","سرپل روغنگران"
"5100","سه سوق آخوند صوفی"
"5101","سه سوق طراحی"
"5102","سوزنگری"
"5103","سیاه کاران"
"5109","شریف خانانگشتیها"
"5110","شفت قاضی اوردهآخوند ملا عثمان"
"5112","شمس الدین محمدبازار علف"
"5113","شورکولجان قباد خرد"
"5114","شیخ جلال"
"5116","شیخ رنگریزدروازۀ قواله"
"5117","شیر محمد جوازکن"
"5118","صوفیان"
"5119","عالم خواجه"
"5120","عزیزان"
"5125","عسکر بی"
"5126","علاقه بندان"
